"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"lnorm_lnorm",6,0.1,500,1,0.966,-0.223071273257375,-0.346147390504891,-0.102935597985812,1.50734446712732
"lnorm_lnorm",6,0.2,500,1,0.972,-0.0455447965025308,-0.119686896972453,0.0588030698588957,1.61903744223153
"lnorm_lnorm",7,0.01,500,1,0.922,-0.615623730175143,-0.812334594300342,-0.28112233146694,1.71608727108357
"lnorm_lnorm",7,0.05,500,1,0.948,-0.363367006601976,-0.526477523622953,-0.199932222670711,1.3011483920993
"lnorm_lnorm",7,0.1,500,1,0.966,-0.224354696533594,-0.33073406162953,-0.108928779969898,1.30636895799508
"lnorm_lnorm",7,0.2,500,1,0.978,-0.0470296902906012,-0.124511336519492,0.0437055543457433,1.40880971531242
"lnorm_lnorm",8,0.01,500,1,0.926,-0.585208260536363,-0.783683839613315,-0.239733967796292,1.59932364193875
"lnorm_lnorm",8,0.05,500,1,0.942,-0.3623845806325,-0.506579649420995,-0.201394157008272,1.19249039569601
"lnorm_lnorm",8,0.1,500,1,0.96,-0.214120885439042,-0.326097028023759,-0.107298501316288,1.19527773601319
"lnorm_lnorm",8,0.2,500,1,0.986,-0.0473355130762004,-0.117873844909037,0.0279212203074086,1.24054291233594
"lnorm_lnorm",10,0.01,500,1,0.938,-0.366173425991978,-0.653905261743482,0.0283395821240584,1.43953328548161
"lnorm_lnorm",10,0.05,500,1,0.938,-0.246990798176334,-0.409685208563709,-0.101656447148936,0.963155519141781
"lnorm_lnorm",10,0.1,500,1,0.96,-0.131402110427559,-0.237537106910249,-0.0467569884234169,0.922504070731681
"lnorm_lnorm",10,0.2,500,1,0.982,-0.0198835699754396,-0.0884772894925836,0.0416053626158642,0.920522577581021
"lnorm_lnorm",16,0.01,500,1,0.88,0.22684269323898,-0.325070438797894,0.411930629420108,1.11040159175536
"lnorm_lnorm",16,0.05,500,1,0.894,-0.00249225051671602,-0.118095259594402,0.0667290457783692,0.44771344061683
"lnorm_lnorm",16,0.1,500,1,0.91,0.00129438112475102,-0.0538597158149184,0.0522545734267366,0.32100954355071
"lnorm_lnorm",16,0.2,500,1,0.914,0.00225480398353578,-0.0371536040330853,0.0425038857956614,0.272256759712603
"lnorm_lnorm",26,0.01,500,1,0.786,0.212798005605738,-0.439382613134311,0.369552146727913,1.10892808476086
"lnorm_lnorm",26,0.05,500,1,0.92,-0.003490224153801,-0.0590727755092824,0.0445719221719044,0.325142721653639
"lnorm_lnorm",26,0.1,500,1,0.936,0.00308577981691695,-0.0356150202075565,0.037448426803644,0.223934306294221
"lnorm_lnorm",26,0.2,500,1,0.932,-0.000713244287583498,-0.0288486303144242,0.0285679327280499,0.178775591152283
"weibull",5,0.01,3000,6,0.343333333333333,8.99419528248236,0.908424888432782,54.3809974326319,122.844262265385
"weibull",5,0.05,3000,6,0.478,1.30955481310178,-0.0724327973659169,7.43767018302151,21.0142187973851
"weibull",5,0.1,3000,6,0.587666666666667,0.442112388839823,-0.32956647822992,2.78738953807511,9.5316509376789
"weibull",5,0.2,3000,6,0.750666666666667,-0.0174613762455853,-0.529351709496703,0.803463152696864,4.41729273995624
"weibull",6,0.01,3000,6,0.729,1.77297376214152,-0.0275786860960888,13.5813876973134,60.7218714532692
"weibull",6,0.05,3000,6,0.751333333333333,0.837305350774343,-0.130107923469509,4.64745521320601,13.9421194665207
"weibull",6,0.1,3000,6,0.766666666666667,0.425916470265593,-0.235496423707442,2.38412303580809,7.39969103255472
"weibull",6,0.2,3000,6,0.806333333333333,0.145038256256063,-0.33102491220339,1.11474943927065,3.94845866914493
"weibull",7,0.01,3000,6,0.753666666666667,1.54884628644103,-0.0549864208904066,11.310683391375,49.0458641399452
"weibull",7,0.05,3000,6,0.767666666666667,0.738456872778281,-0.133698777055543,3.98197891925336,11.8393740307478
"weibull",7,0.1,3000,6,0.79,0.379729950407869,-0.226455148811815,2.07943871021054,6.456053509877
"weibull",7,0.2,3000,6,0.816666666666667,0.12271137227214,-0.313121875617615,1.00233619253292,3.58755990611238
"weibull",8,0.01,3000,6,0.777,1.33216517046956,-0.0930221297719226,9.31258800722026,42.5399690145798
"weibull",8,0.05,3000,6,0.788666666666667,0.649602307653235,-0.16425095432188,3.40791420516146,10.5943492924554
"weibull",8,0.1,3000,6,0.803,0.334059516403762,-0.231746978131929,1.83918962531114,5.89582473706884
"weibull",8,0.2,3000,6,0.832333333333333,0.0902651127813612,-0.305897056226402,0.884455983101447,3.30963084040323
"weibull",10,0.01,3000,6,0.804333333333333,1.07331406091945,-0.156178113277035,7.23985438191116,32.7187273207203
"weibull",10,0.05,3000,6,0.816,0.521056814387034,-0.170311872807308,2.84069784494297,8.79045461647134
"weibull",10,0.1,3000,6,0.823333333333333,0.270648656384806,-0.239704567902258,1.5551799533163,5.00376090760037
"weibull",10,0.2,3000,6,0.846333333333333,0.0774662626024737,-0.300818013424325,0.752468687360809,2.89575523590993
"weibull",16,0.01,3000,6,0.857,0.67646508592115,-0.205461583802607,3.87560585627818,18.9086839717575
"weibull",16,0.05,3000,6,0.862,0.333339791945855,-0.203772708961043,1.68279854510007,5.81080043742365
"weibull",16,0.1,3000,6,0.875,0.169808022578242,-0.245461311673814,0.972201200649865,3.55901666691427
"weibull",16,0.2,3000,6,0.884333333333333,0.0516747193406024,-0.264166673251541,0.538120167194327,2.26173754083247
"weibull",26,0.01,3000,6,0.889666666666667,0.432847392560821,-0.235752524845191,2.39529745177858,11.6985191793434
"weibull",26,0.05,3000,6,0.896333333333333,0.185472893805309,-0.241605532596224,1.03444301727879,4.0134853423734
"weibull",26,0.1,3000,6,0.902666666666667,0.0988371839988147,-0.246726665544526,0.631243430314163,2.61252545327343
"weibull",26,0.2,3000,6,0.914333333333333,0.0279035676375938,-0.220562729218381,0.38554149615613,1.770977664346
